Price,Car,madeIn,status,carType,Km,carColor,carSeat,engine,gear,Wheeldrive
764000000,Ford Ranger Limited 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Xanh,5,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
1079000000,Kia Sorento Luxury 2.5 AT - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Xanh,7,Xăng	2.5 L,Số tự động,FWD - Dẫn động cầu trước
12000000000,Mercedes Benz G class G63 AMG - 2021,Nhập khẩu,Xe mới,SUV,0,Đen,5,Xăng	4.0 L,Số tự động,AWD - 4 bánh toàn thời gian
599000000,Ford Ranger XLS 2.2L 4x2 MT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Trắng,5,Dầu	2.2 L,Số tay,RFD - Dẫn động cầu sau
750000000,Toyota Innova E 2.0 MT - 2021,Lắp ráp trong nước,Xe mới,Crossover,0,Bạc,8,Xăng	2.0 L,Số tay,RFD - Dẫn động cầu sau
626000000,Ford EcoSport Titanium 1.5 AT - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Nhiều màu,5,Xăng	1.5 L,Số tự động,FWD - Dẫn động cầu trước
4350000000,Toyota Sienna Limited 2.5 AT AWD - 2021,Nhập khẩu,Xe mới,Van/Minivan,0,Trắng,7,Hybrid	2.5 L,Số tự động,AWD - 4 bánh toàn thời gian
1279000000,Kia Sorento Signature 2.5 AT AWD - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Xanh,7,Xăng	2.5 L,Số tự động,AWD - 4 bánh toàn thời gian
9950000000,Lexus LX 570 Super Sport MBS - 2021,Nhập khẩu,Xe mới,SUV,0,Trắng,4,Xăng	5.7 L,Số tự động,AWD - 4 bánh toàn thời gian
1099000000,Ford Everest Titanium 2.0L 4x2 AT - 2021,Nhập khẩu,Xe mới,SUV,0,Đỏ,7,Dầu	2.0 L,Số tự động,RFD - Dẫn động cầu sau
625000000,Ford Ranger XLS 2.2L 4x2 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Trắng,5,Dầu	2.2 L,Số tự động,RFD - Dẫn động cầu sau
865000000,Toyota Innova G 2.0 AT - 2021,Lắp ráp trong nước,Xe mới,Crossover,0,Bạc,8,Xăng	2.0 L,Số tự động,RFD - Dẫn động cầu sau
840000000,Ford Ranger Wildtrak 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Cam,5,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
995000000,Toyota Fortuner 2.4G 4x2 MT - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,7,Dầu	2.4 L,Số tay,RFD - Dẫn động cầu sau
1110000000,Mitsubishi Pajero Sport 2.4D 4x2 AT - 2021,Nhập khẩu,Xe mới,SUV,0,Đen,7,Dầu	2.4 L,Số tự động,RFD - Dẫn động cầu sau
674000000,Toyota Hilux 2.4L 4x2 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Cam,5,Dầu	2.4 L,Số tự động,RFD - Dẫn động cầu sau
8900000000,Cadillac Escalade Platinum Sport AWD - 2021,Nhập khẩu,Xe mới,SUV,0,Xanh,7,Dầu	3.0 L,Số tự động,AWD - 4 bánh toàn thời gian
720000000,Toyota Corolla Cross 1.8G - 2021,Nhập khẩu,Xe mới,SUV,0,Đen,5,Xăng	1.8 L,Số tự động,FWD - Dẫn động cầu trước
4350000000,Toyota Sienna Limited 2.5 AT AWD - 2021,Nhập khẩu,Xe mới,Van/Minivan,0,Xám,7,Hybrid	2.5 L,Số tự động,AWD - 4 bánh toàn thời gian
1080000000,Toyota Fortuner 2.4G 4x2 AT - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Đen,7,Dầu	2.4 L,Số tự động,RFD - Dẫn động cầu sau
1310000000,Ford Everest Titanium 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,SUV,0,Trắng,7,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
4350000000,Toyota Sienna Limited 2.5 AT AWD - 2021,Nhập khẩu,Xe mới,Van/Minivan,0,Trắng,7,Hybrid	2.5 L,Số tự động,AWD - 4 bánh toàn thời gian
1279000000,Kia Sorento Signature 2.5 AT AWD - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Xanh,7,Xăng	2.5 L,Số tự động,AWD - 4 bánh toàn thời gian
630000000,Ford Ranger XLS 2.2L 4x2 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Đen,5,Dầu	2.2 L,Số tự động,RFD - Dẫn động cầu sau
1180000000,Ford Ranger Raptor 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Vàng,5,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
9950000000,Lexus LX 570 Super Sport MBS - 2021,Nhập khẩu,Xe mới,SUV,0,Trắng,4,Xăng	5.7 L,Số tự động,AWD - 4 bánh toàn thời gian
1099000000,Ford Everest Titanium 2.0L 4x2 AT - 2021,Nhập khẩu,Xe mới,SUV,0,Đỏ,7,Dầu	2.0 L,Số tự động,RFD - Dẫn động cầu sau
625000000,Ford Ranger XLS 2.2L 4x2 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Trắng,5,Dầu	2.2 L,Số tự động,RFD - Dẫn động cầu sau
865000000,Toyota Innova G 2.0 AT - 2021,Lắp ráp trong nước,Xe mới,Crossover,0,Bạc,8,Xăng	2.0 L,Số tự động,RFD - Dẫn động cầu sau
850000000,Ford Ranger Wildtrak - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Cam,5,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
635000000,Ford Ranger XLS 2.2L 4x2 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Đỏ,5,Dầu	2.2 L,Số tự động,RFD - Dẫn động cầu sau
840000000,Ford Ranger Wildtrak 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Cam,5,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
604000000,Honda City RS 1.5 AT - 2021,Lắp ráp trong nước,Xe mới,Sedan,0,Đỏ,5,Xăng	1.5 L,Số tự động,FWD - Dẫn động cầu trước
1121000000,Ford Everest Titanium 2.0L 4x2 AT - 2021,Nhập khẩu,Xe mới,SUV,0,Đen,7,Dầu	2.0 L,Số tự động,RFD - Dẫn động cầu sau
595000000,"Ford Ranger XLS MT 4x2, số sàn - 2021",Nhập khẩu,Xe mới,Bán tải / Pickup,0,Đỏ,5,Dầu	2.2 L,Số tay,RFD - Dẫn động cầu sau
519000000,Hyundai Accent 1.4 AT - 2021,Lắp ráp trong nước,Xe mới,Sedan,0,Đỏ,5,Xăng	1.4 L,Số tự động,FWD - Dẫn động cầu trước
995000000,Toyota Fortuner 2.4G 4x2 MT - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,7,Dầu	2.4 L,Số tay,RFD - Dẫn động cầu sau
1110000000,Mitsubishi Pajero Sport 2.4D 4x2 AT - 2021,Nhập khẩu,Xe mới,SUV,0,Đen,7,Dầu	2.4 L,Số tự động,RFD - Dẫn động cầu sau
859000000,Ford Ranger Wildtrak 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Cam,5,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
674000000,Toyota Hilux 2.4L 4x2 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Cam,5,Dầu	2.4 L,Số tự động,RFD - Dẫn động cầu sau
4030000000,Toyota Land Cruiser VX Nhập Nhật - 2021,Nhập khẩu,Xe mới,SUV,0,Đen,7,Xăng	4.6 L,Số tự động,4WD - Dẫn động 4 bánh
8900000000,Cadillac Escalade Platinum Sport AWD - 2021,Nhập khẩu,Xe mới,SUV,0,Xanh,7,Dầu	3.0 L,Số tự động,AWD - 4 bánh toàn thời gian
1300000000,Ford Everest Titanium 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,SUV,0,Xanh,7,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
