Price,Car,madeIn,status,carType,Km,carColor,carSeat,engine,gear,Wheeldrive
0.764,Ford Ranger Limited 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Xanh,5,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
0.599,Ford Ranger XLS 2.2L 4x2 MT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Trắng,5,Dầu	2.2 L,Số tay,RFD - Dẫn động cầu sau
0.75,Toyota Innova E 2.0 MT - 2021,Lắp ráp trong nước,Xe mới,Crossover,0,Bạc,8,Xăng	2.0 L,Số tay,RFD - Dẫn động cầu sau
0.626,Ford EcoSport Titanium 1.5 AT - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Nhiều màu,5,Xăng	1.5 L,Số tự động,FWD - Dẫn động cầu trước
4.35,Toyota Sienna Limited 2.5 AT AWD - 2021,Nhập khẩu,Xe mới,Van/Minivan,0,Trắng,7,Hybrid	2.5 L,Số tự động,AWD - 4 bánh toàn thời gian
1.099,Ford Everest Titanium 2.0L 4x2 AT - 2021,Nhập khẩu,Xe mới,SUV,0,Đỏ,7,Dầu	2.0 L,Số tự động,RFD - Dẫn động cầu sau
0.625,Ford Ranger XLS 2.2L 4x2 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Trắng,5,Dầu	2.2 L,Số tự động,RFD - Dẫn động cầu sau
0.84,Ford Ranger Wildtrak 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Cam,5,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
0.995,Toyota Fortuner 2.4G 4x2 MT - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,7,Dầu	2.4 L,Số tay,RFD - Dẫn động cầu sau
0.674,Toyota Hilux 2.4L 4x2 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Cam,5,Dầu	2.4 L,Số tự động,RFD - Dẫn động cầu sau
8.9,Cadillac Escalade Platinum Sport AWD - 2021,Nhập khẩu,Xe mới,SUV,0,Xanh,7,Dầu	3.0 L,Số tự động,AWD - 4 bánh toàn thời gian
4.35,Toyota Sienna Limited 2.5 AT AWD - 2021,Nhập khẩu,Xe mới,Van/Minivan,0,Xám,7,Hybrid	2.5 L,Số tự động,AWD - 4 bánh toàn thời gian
1.08,Toyota Fortuner 2.4G 4x2 AT - 2021,Lắp ráp trong nước,Xe mới,SUV,0,Đen,7,Dầu	2.4 L,Số tự động,RFD - Dẫn động cầu sau
1.31,Ford Everest Titanium 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,SUV,0,Trắng,7,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
0.63,Ford Ranger XLS 2.2L 4x2 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Đen,5,Dầu	2.2 L,Số tự động,RFD - Dẫn động cầu sau
1.18,Ford Ranger Raptor 2.0L 4x4 AT - 2021,Nhập khẩu,Xe mới,Bán tải / Pickup,0,Vàng,5,Dầu	2.0 L,Số tự động,4WD - Dẫn động 4 bánh
